period,market_id,interest_index,below_one_share,source_resolution
2025-10-01,london,35.483870967741936,0.0,week
2025-11-01,london,34.166666666666664,0.0,week
2025-12-01,london,39.61290322580645,0.0,week
2021-01-01,rome,18.870967741935484,0.0,week
2021-02-01,rome,25.142857142857142,0.0,week
2021-03-01,rome,30.967741935483872,0.0,week
2021-04-01,rome,39.3,0.0,week
2021-05-01,rome,55.354838709677416,0.0,week
2021-06-01,rome,73.73333333333333,0.0,week
2021-07-01,rome,79.16129032258064,0.0,week
2021-08-01,rome,85.16129032258064,0.0,week
2021-09-01,rome,45.7,0.0,week
2021-10-01,rome,24.870967741935484,0.0,week
2021-11-01,rome,21.066666666666666,0.0,week
2021-12-01,rome,21.032258064516128,0.0,week
2022-01-01,rome,19.967741935483872,0.0,week
2022-02-01,rome,24.535714285714285,0.0,week
2022-03-01,rome,30.29032258064516,0.0,week
2022-04-01,rome,48.0,0.0,week
2022-05-01,rome,69.03225806451613,0.0,week
2022-06-01,rome,90.53333333333333,0.0,week
2022-07-01,rome,93.03225806451613,0.0,week
2022-08-01,rome,30.419354838709676,0.0,week
2022-09-01,rome,34.86666666666667,0.0,week
2022-10-01,rome,31.580645161290324,0.0,week
2022-11-01,rome,23.5,0.0,week
2022-12-01,rome,20.0,0.0,week
2023-01-01,rome,20.870967741935484,0.0,week
2023-02-01,rome,23.464285714285715,0.0,week
2023-03-01,rome,31.29032258064516,0.0,week
2023-04-01,rome,45.63333333333333,0.0,week
2023-05-01,rome,54.903225806451616,0.0,week
2023-06-01,rome,76.5,0.0,week
2023-07-01,rome,83.74193548387096,0.0,week
2023-08-01,rome,73.09677419354838,0.0,week
2023-09-01,rome,39.9,0.0,week
2023-10-01,rome,25.64516129032258,0.0,week
2023-11-01,rome,17.933333333333334,0.0,week
2023-12-01,rome,15.806451612903226,0.0,week
2024-01-01,rome,16.548387096774192,0.0,week
2024-02-01,rome,19.724137931034484,0.0,week
2024-03-01,rome,26.870967741935484,0.0,week
2024-04-01,rome,38.86666666666667,0.0,week
2024-05-01,rome,44.03225806451613,0.0,week
2024-06-01,rome,63.2,0.0,week
2024-07-01,rome,62.29032258064516,0.0,week
2024-08-01,rome,55.83870967741935,0.0,week
2024-09-01,rome,27.133333333333333,0.0,week
2024-10-01,rome,21.838709677419356,0.0,week
2024-11-01,rome,16.566666666666666,0.0,week
2024-12-01,rome,15.709677419354838,0.0,week
2025-01-01,rome,16.129032258064516,0.0,week
2025-02-01,rome,18.892857142857142,0.0,week
2025-03-01,rome,26.451612903225808,0.0,week
2025-04-01,rome,37.1,0.0,week
2025-05-01,rome,47.70967741935484,0.0,week
2025-06-01,rome,71.83333333333333,0.0,week
2025-07-01,rome,70.51612903225806,0.0,week
2025-08-01,rome,61.87096774193548,0.0,week
2025-09-01,rome,33.36666666666667,0.0,week
2025-10-01,rome,22.419354838709676,0.0,week
2025-11-01,rome,20.366666666666667,0.0,week
2025-12-01,rome,19.838709677419356,0.0,week
2021-01-01,tokyo,30.806451612903224,0.0,week
2021-02-01,tokyo,39.035714285714285,0.0,week
2021-03-01,tokyo,40.70967741935484,0.0,week
2021-04-01,tokyo,41.36666666666667,0.0,week
2021-05-01,tokyo,54.483870967741936,0.0,week
2021-06-01,tokyo,55.53333333333333,0.0,week
2021-07-01,tokyo,62.70967741935484,0.0,week
2021-08-01,tokyo,69.64516129032258,0.0,week
2021-09-01,tokyo,54.03333333333333,0.0,week
2021-10-01,tokyo,40.193548387096776,0.0,week
2021-11-01,tokyo,33.2,0.0,week
2021-12-01,tokyo,34.67741935483871,0.0,week
2022-01-01,tokyo,30.161290322580644,0.0,week
2022-02-01,tokyo,35.392857142857146,0.0,week
2022-03-01,tokyo,36.67741935483871,0.0,week
2022-04-01,tokyo,41.43333333333333,0.0,week
2022-05-01,tokyo,48.903225806451616,0.0,week
2022-06-01,tokyo,59.46666666666667,0.0,week
2022-07-01,tokyo,64.12903225806451,0.0,week
2022-08-01,tokyo,7.258064516129032,0.0,week
2022-09-01,tokyo,39.6,0.0,week
2022-10-01,tokyo,37.38709677419355,0.0,week
2022-11-01,tokyo,36.166666666666664,0.0,week
2022-12-01,tokyo,34.12903225806452,0.0,week
2023-01-01,tokyo,32.096774193548384,0.0,week
2023-02-01,tokyo,34.75,0.0,week
2023-03-01,tokyo,37.774193548387096,0.0,week
2023-04-01,tokyo,43.833333333333336,0.0,week
2023-05-01,tokyo,52.87096774193548,0.0,week
2023-06-01,tokyo,57.1,0.0,week
2023-07-01,tokyo,76.93548387096774,0.0,week
2023-08-01,tokyo,69.51612903225806,0.0,week
2023-09-01,tokyo,57.233333333333334,0.0,week
2023-10-01,tokyo,44.87096774193548,0.0,week
2023-11-01,tokyo,40.233333333333334,0.0,week
2023-12-01,tokyo,41.45161290322581,0.0,week
2024-01-01,tokyo,33.483870967741936,0.0,week
2024-02-01,tokyo,37.3448275862069,0.0,week
2024-03-01,tokyo,37.774193548387096,0.0,week
2024-04-01,tokyo,47.06666666666667,0.0,week
2024-05-01,tokyo,57.41935483870968,0.0,week
2024-06-01,tokyo,64.43333333333334,0.0,week
2024-07-01,tokyo,70.35483870967742,0.0,week
2024-08-01,tokyo,63.74193548387097,0.0,week
2024-09-01,tokyo,55.56666666666667,0.0,week
2024-10-01,tokyo,42.74193548387097,0.0,week
2024-11-01,tokyo,35.36666666666667,0.0,week
2024-12-01,tokyo,35.83870967741935,0.0,week
2025-01-01,tokyo,34.774193548387096,0.0,week
2025-02-01,tokyo,44.32142857142857,0.0,week
2025-03-01,tokyo,44.225806451612904,0.0,week
2025-04-01,tokyo,50.7,0.0,week
2025-05-01,tokyo,60.25806451612903,0.0,week
2025-06-01,tokyo,69.6,0.0,week
2025-07-01,tokyo,74.64516129032258,0.0,week
2025-08-01,tokyo,70.3225806451613,0.0,week
2025-09-01,tokyo,54.6,0.0,week
2025-10-01,tokyo,42.67741935483871,0.0,week
2025-11-01,tokyo,41.833333333333336,0.0,week
2025-12-01,tokyo,50.354838709677416,0.0,week
2021-01-01,delhi,19.161290322580644,0.0,week
2021-02-01,delhi,26.607142857142858,0.0,week
2021-03-01,delhi,40.193548387096776,0.0,week
2021-04-01,delhi,40.833333333333336,0.0,week
2021-05-01,delhi,39.29032258064516,0.0,week
2021-06-01,delhi,46.2,0.0,week
2021-07-01,delhi,39.0,0.0,week
2021-08-01,delhi,31.225806451612904,0.0,week
2021-09-01,delhi,29.133333333333333,0.0,week
2021-10-01,delhi,25.225806451612904,0.0,week
2021-11-01,delhi,19.433333333333334,0.0,week
2021-12-01,delhi,19.451612903225808,0.0,week
2022-01-01,delhi,20.225806451612904,0.0,week
2022-02-01,delhi,29.107142857142858,0.0,week
2022-03-01,delhi,44.54838709677419,0.0,week
2022-04-01,delhi,55.63333333333333,0.0,week
2022-05-01,delhi,55.16129032258065,0.0,week
2022-06-01,delhi,50.93333333333333,0.0,week
2022-07-01,delhi,38.03225806451613,0.0,week
2022-08-01,delhi,28.387096774193548,0.0,week
2022-09-01,delhi,29.1,0.0,week
2022-10-01,delhi,24.967741935483872,0.0,week
2022-11-01,delhi,20.266666666666666,0.0,week
2022-12-01,delhi,18.548387096774192,0.0,week
2023-01-01,delhi,19.516129032258064,0.0,week
2023-02-01,delhi,25.928571428571427,0.0,week
2023-03-01,delhi,39.87096774193548,0.0,week
2023-04-01,delhi,51.233333333333334,0.0,week
2023-05-01,delhi,51.645161290322584,0.0,week
2023-06-01,delhi,55.06666666666667,0.0,week
2023-07-01,delhi,38.16129032258065,0.0,week
2023-08-01,delhi,32.12903225806452,0.0,week
2023-09-01,delhi,29.333333333333332,0.0,week
2023-10-01,delhi,25.225806451612904,0.0,week
2023-11-01,delhi,18.233333333333334,0.0,week
2023-12-01,delhi,18.225806451612904,0.0,week
2024-01-01,delhi,18.225806451612904,0.0,week
2024-02-01,delhi,23.413793103448278,0.0,week
2024-03-01,delhi,33.225806451612904,0.0,week
2024-04-01,delhi,47.833333333333336,0.0,week
2024-05-01,delhi,58.25806451612903,0.0,week
2024-06-01,delhi,55.666666666666664,0.0,week
2024-07-01,delhi,37.064516129032256,0.0,week
2024-08-01,delhi,27.29032258064516,0.0,week
2024-09-01,delhi,27.0,0.0,week
2024-10-01,delhi,23.548387096774192,0.0,week
2024-11-01,delhi,19.133333333333333,0.0,week
2024-12-01,delhi,17.64516129032258,0.0,week
2025-01-01,delhi,19.387096774193548,0.0,week
2025-02-01,delhi,25.0,0.0,week
2025-03-01,delhi,39.16129032258065,0.0,week
2025-04-01,delhi,56.6,0.0,week
2025-05-01,delhi,77.90322580645162,0.0,week
2025-06-01,delhi,65.3,0.0,week
2025-07-01,delhi,43.064516129032256,0.0,week
2025-08-01,delhi,32.87096774193548,0.0,week
2025-09-01,delhi,30.833333333333332,0.0,week
2025-10-01,delhi,24.903225806451612,0.0,week
2025-11-01,delhi,22.833333333333332,0.0,week
2025-12-01,delhi,23.774193548387096,0.0,week
2021-01-01,singapore,59.70967741935484,0.0,week
2021-02-01,singapore,57.107142857142854,0.0,week
2021-03-01,singapore,69.06451612903226,0.0,week
2021-04-01,singapore,71.0,0.0,week
2021-05-01,singapore,70.25806451612904,0.0,week
2021-06-01,singapore,73.36666666666666,0.0,week
2021-07-01,singapore,72.41935483870968,0.0,week
2021-08-01,singapore,74.19354838709677,0.0,week
2021-09-01,singapore,73.1,0.0,week
2021-10-01,singapore,73.70967741935483,0.0,week
2021-11-01,singapore,68.8,0.0,week
2021-12-01,singapore,74.35483870967742,0.0,week
2022-01-01,singapore,60.61290322580645,0.0,week
2022-02-01,singapore,67.82142857142857,0.0,week
2022-03-01,singapore,73.83870967741936,0.0,week
2022-04-01,singapore,71.13333333333334,0.0,week
2022-05-01,singapore,78.03225806451613,0.0,week
2022-06-01,singapore,76.26666666666667,0.0,week
2022-07-01,singapore,78.90322580645162,0.0,week
2022-08-01,singapore,76.6774193548387,0.0,week
2022-09-01,singapore,73.43333333333334,0.0,week
2022-10-01,singapore,76.19354838709677,0.0,week
2022-11-01,singapore,66.33333333333333,0.0,week
2022-12-01,singapore,66.87096774193549,0.0,week
2023-01-01,singapore,64.29032258064517,0.0,week
2023-02-01,singapore,61.964285714285715,0.0,week
2023-03-01,singapore,72.93548387096774,0.0,week
2023-04-01,singapore,79.86666666666666,0.0,week
2023-05-01,singapore,81.83870967741936,0.0,week
2023-06-01,singapore,86.56666666666666,0.0,week
2023-07-01,singapore,89.2258064516129,0.0,week
2023-08-01,singapore,86.6774193548387,0.0,week
2023-09-01,singapore,77.16666666666667,0.0,week
2023-10-01,singapore,74.61290322580645,0.0,week
2023-11-01,singapore,69.9,0.0,week
2023-12-01,singapore,70.64516129032258,0.0,week
2024-01-01,singapore,65.09677419354838,0.0,week
2024-02-01,singapore,65.0,0.0,week
2024-03-01,singapore,72.03225806451613,0.0,week
2024-04-01,singapore,72.03333333333333,0.0,week
2024-05-01,singapore,75.87096774193549,0.0,week
2024-06-01,singapore,74.2,0.0,week
2024-07-01,singapore,71.7741935483871,0.0,week
2024-08-01,singapore,72.03225806451613,0.0,week
2024-09-01,singapore,65.7,0.0,week
2024-10-01,singapore,64.3225806451613,0.0,week
2024-11-01,singapore,59.86666666666667,0.0,week
2024-12-01,singapore,64.25806451612904,0.0,week
2025-01-01,singapore,53.483870967741936,0.0,week
2025-02-01,singapore,57.5,0.0,week
2025-03-01,singapore,61.32258064516129,0.0,week
2025-04-01,singapore,65.33333333333333,0.0,week
2025-05-01,singapore,69.54838709677419,0.0,week
2025-06-01,singapore,73.86666666666666,0.0,week
2025-07-01,singapore,71.58064516129032,0.0,week
2025-08-01,singapore,72.38709677419355,0.0,week
2025-09-01,singapore,66.43333333333334,0.0,week
2025-10-01,singapore,64.19354838709677,0.0,week
2025-11-01,singapore,66.33333333333333,0.0,week
2025-12-01,singapore,72.38709677419355,0.0,week
2021-01-01,sao_paulo,45.61290322580645,0.0,week
2021-02-01,sao_paulo,42.142857142857146,0.0,week
2021-03-01,sao_paulo,39.74193548387097,0.0,week
2021-04-01,sao_paulo,30.2,0.0,week
2021-05-01,sao_paulo,26.64516129032258,0.0,week
2021-06-01,sao_paulo,24.8,0.0,week
2021-07-01,sao_paulo,26.35483870967742,0.0,week
2021-08-01,sao_paulo,35.58064516129032,0.0,week
2021-09-01,sao_paulo,42.3,0.0,week
2021-10-01,sao_paulo,31.838709677419356,0.0,week
2021-11-01,sao_paulo,33.93333333333333,0.0,week
2021-12-01,sao_paulo,50.935483870967744,0.0,week
2022-01-01,sao_paulo,44.41935483870968,0.0,week
2022-02-01,sao_paulo,44.07142857142857,0.0,week
2022-03-01,sao_paulo,44.87096774193548,0.0,week
2022-04-01,sao_paulo,33.93333333333333,0.0,week
2022-05-01,sao_paulo,27.677419354838708,0.0,week
2022-06-01,sao_paulo,27.333333333333332,0.0,week
2022-07-01,sao_paulo,39.354838709677416,0.0,week
2022-08-01,sao_paulo,14.67741935483871,0.0,week
2022-09-01,sao_paulo,33.4,0.0,week
2022-10-01,sao_paulo,42.70967741935484,0.0,week
2022-11-01,sao_paulo,42.233333333333334,0.0,week
2022-12-01,sao_paulo,56.38709677419355,0.0,week
2023-01-01,sao_paulo,46.54838709677419,0.0,week
2023-02-01,sao_paulo,45.892857142857146,0.0,week
2023-03-01,sao_paulo,42.70967741935484,0.0,week
2023-04-01,sao_paulo,30.8,0.0,week
2023-05-01,sao_paulo,30.870967741935484,0.0,week
2023-06-01,sao_paulo,27.466666666666665,0.0,week
2023-07-01,sao_paulo,28.129032258064516,0.0,week
2023-08-01,sao_paulo,35.064516129032256,0.0,week
2023-09-01,sao_paulo,58.06666666666667,0.0,week
2023-10-01,sao_paulo,40.935483870967744,0.0,week
2023-11-01,sao_paulo,56.833333333333336,0.0,week
2023-12-01,sao_paulo,57.096774193548384,0.0,week
2024-01-01,sao_paulo,42.32258064516129,0.0,week
2024-02-01,sao_paulo,34.724137931034484,0.0,week
2024-03-01,sao_paulo,35.45161290322581,0.0,week
2024-04-01,sao_paulo,28.233333333333334,0.0,week
2024-05-01,sao_paulo,28.580645161290324,0.0,week
2024-06-01,sao_paulo,26.3,0.0,week
2024-07-01,sao_paulo,24.612903225806452,0.0,week
2024-08-01,sao_paulo,27.70967741935484,0.0,week
2024-09-01,sao_paulo,39.0,0.0,week
2024-10-01,sao_paulo,32.12903225806452,0.0,week
2024-11-01,sao_paulo,32.333333333333336,0.0,week
2024-12-01,sao_paulo,40.03225806451613,0.0,week
2025-01-01,sao_paulo,40.96774193548387,0.0,week
2025-02-01,sao_paulo,42.32142857142857,0.0,week
2025-03-01,sao_paulo,38.064516129032256,0.0,week
2025-04-01,sao_paulo,28.266666666666666,0.0,week
2025-05-01,sao_paulo,26.483870967741936,0.0,week
2025-06-01,sao_paulo,24.233333333333334,0.0,week
2025-07-01,sao_paulo,27.387096774193548,0.0,week
2025-08-01,sao_paulo,29.516129032258064,0.0,week
2025-09-01,sao_paulo,33.733333333333334,0.0,week
2025-10-01,sao_paulo,33.74193548387097,0.0,week
2025-11-01,sao_paulo,34.2,0.0,week
2025-12-01,sao_paulo,56.67741935483871,0.0,week
2021-01-01,sydney,70.51612903225806,0.0,week
2021-02-01,sydney,56.0,0.0,week
2021-03-01,sydney,47.45161290322581,0.0,week
2021-04-01,sydney,47.93333333333333,0.0,week
2021-05-01,sydney,45.29032258064516,0.0,week
2021-06-01,sydney,43.46666666666667,0.0,week
2021-07-01,sydney,48.806451612903224,0.0,week
2021-08-01,sydney,50.38709677419355,0.0,week
2021-09-01,sydney,54.3,0.0,week
2021-10-01,sydney,49.935483870967744,0.0,week
2021-11-01,sydney,48.2,0.0,week
2021-12-01,sydney,61.16129032258065,0.0,week
2022-01-01,sydney,67.45161290322581,0.0,week
2022-02-01,sydney,54.67857142857143,0.0,week
2022-03-01,sydney,45.87096774193548,0.0,week
2022-04-01,sydney,47.13333333333333,0.0,week
2022-05-01,sydney,43.74193548387097,0.0,week
2022-06-01,sydney,46.333333333333336,0.0,week
2022-07-01,sydney,49.67741935483871,0.0,week
2022-08-01,sydney,49.83870967741935,0.0,week
2022-09-01,sydney,52.93333333333333,0.0,week
2022-10-01,sydney,58.516129032258064,0.0,week
2022-11-01,sydney,60.2,0.0,week
2022-12-01,sydney,71.35483870967742,0.0,week
2023-01-01,sydney,72.74193548387096,0.0,week
2023-02-01,sydney,60.82142857142857,0.0,week
2023-03-01,sydney,59.12903225806452,0.0,week
2023-04-01,sydney,56.333333333333336,0.0,week
2023-05-01,sydney,53.74193548387097,0.0,week
2023-06-01,sydney,54.5,0.0,week
2023-07-01,sydney,57.903225806451616,0.0,week
2023-08-01,sydney,57.45161290322581,0.0,week
2023-09-01,sydney,66.46666666666667,0.0,week
2023-10-01,sydney,70.0,0.0,week
2023-11-01,sydney,65.0,0.0,week
2023-12-01,sydney,76.87096774193549,0.0,week
2024-01-01,sydney,74.25806451612904,0.0,week
2024-02-01,sydney,62.55172413793103,0.0,week
2024-03-01,sydney,58.87096774193548,0.0,week
2024-04-01,sydney,56.333333333333336,0.0,week
2024-05-01,sydney,54.645161290322584,0.0,week
2024-06-01,sydney,51.46666666666667,0.0,week
2024-07-01,sydney,56.41935483870968,0.0,week
2024-08-01,sydney,57.903225806451616,0.0,week
2024-09-01,sydney,62.36666666666667,0.0,week
2024-10-01,sydney,67.80645161290323,0.0,week
2024-11-01,sydney,68.23333333333333,0.0,week
2024-12-01,sydney,82.16129032258064,0.0,week
2025-01-01,sydney,80.09677419354838,0.0,week
2025-02-01,sydney,67.21428571428571,0.0,week
2025-03-01,sydney,62.354838709677416,0.0,week
2025-04-01,sydney,61.03333333333333,0.0,week
2025-05-01,sydney,54.38709677419355,0.0,week
2025-06-01,sydney,57.13333333333333,0.0,week
2025-07-01,sydney,62.064516129032256,0.0,week
2025-08-01,sydney,60.193548387096776,0.0,week
2025-09-01,sydney,66.56666666666666,0.0,week
2025-10-01,sydney,77.87096774193549,0.0,week
2025-11-01,sydney,80.33333333333333,0.0,week
2025-12-01,sydney,90.38709677419355,0.0,week
2021-01-01,johannesburg,65.64516129032258,0.0,week
2021-02-01,johannesburg,50.964285714285715,0.0,week
2021-03-01,johannesburg,49.193548387096776,0.0,week
2021-04-01,johannesburg,45.3,0.0,week
2021-05-01,johannesburg,39.70967741935484,0.0,week
2021-06-01,johannesburg,37.833333333333336,0.0,week
2021-07-01,johannesburg,40.41935483870968,0.0,week
2021-08-01,johannesburg,49.096774193548384,0.0,week
2021-09-01,johannesburg,62.333333333333336,0.0,week
2021-10-01,johannesburg,59.354838709677416,0.0,week
2021-11-01,johannesburg,61.1,0.0,week
2021-12-01,johannesburg,63.516129032258064,0.0,week
2022-01-01,johannesburg,52.96774193548387,0.0,week
2022-02-01,johannesburg,58.142857142857146,0.0,week
2022-03-01,johannesburg,52.354838709677416,0.0,week
2022-04-01,johannesburg,42.333333333333336,0.0,week
2022-05-01,johannesburg,40.354838709677416,0.0,week
2022-06-01,johannesburg,38.766666666666666,0.0,week
2022-07-01,johannesburg,45.12903225806452,0.0,week
2022-08-01,johannesburg,55.03225806451613,0.0,week
2022-09-01,johannesburg,73.53333333333333,0.0,week
2022-10-01,johannesburg,82.58064516129032,0.0,week
2022-11-01,johannesburg,66.9,0.0,week
2022-12-01,johannesburg,68.87096774193549,0.0,week
2023-01-01,johannesburg,57.58064516129032,0.0,week
2023-02-01,johannesburg,47.464285714285715,0.0,week
2023-03-01,johannesburg,54.774193548387096,0.0,week
2023-04-01,johannesburg,52.03333333333333,0.0,week
2023-05-01,johannesburg,40.61290322580645,0.0,week
2023-06-01,johannesburg,40.766666666666666,0.0,week
2023-07-01,johannesburg,41.225806451612904,0.0,week
2023-08-01,johannesburg,60.54838709677419,0.0,week
2023-09-01,johannesburg,80.8,0.0,week
2023-10-01,johannesburg,85.25806451612904,0.0,week
2023-11-01,johannesburg,83.73333333333333,0.0,week
2023-12-01,johannesburg,82.09677419354838,0.0,week
2024-01-01,johannesburg,58.16129032258065,0.0,week
2024-02-01,johannesburg,60.06896551724138,0.0,week
2024-03-01,johannesburg,63.16129032258065,0.0,week
2024-04-01,johannesburg,47.8,0.0,week
2024-05-01,johannesburg,45.45161290322581,0.0,week
2024-06-01,johannesburg,41.233333333333334,0.0,week
2024-07-01,johannesburg,42.70967741935484,0.0,week
2024-08-01,johannesburg,61.61290322580645,0.0,week
2024-09-01,johannesburg,64.9,0.0,week
2024-10-01,johannesburg,74.19354838709677,0.0,week
2024-11-01,johannesburg,72.86666666666666,0.0,week
2024-12-01,johannesburg,81.03225806451613,0.0,week
2025-01-01,johannesburg,59.12903225806452,0.0,week
2025-02-01,johannesburg,54.464285714285715,0.0,week
2025-03-01,johannesburg,51.806451612903224,0.0,week
2025-04-01,johannesburg,45.3,0.0,week
2025-05-01,johannesburg,46.483870967741936,0.0,week
2025-06-01,johannesburg,41.1,0.0,week
2025-07-01,johannesburg,45.58064516129032,0.0,week
2025-08-01,johannesburg,59.225806451612904,0.0,week
2025-09-01,johannesburg,80.7,0.0,week
2025-10-01,johannesburg,70.7741935483871,0.0,week
2025-11-01,johannesburg,59.0,0.0,week
2025-12-01,johannesburg,71.41935483870968,0.0,week
2021-01-01,moscow,38.0,0.0,week
2021-02-01,moscow,36.92857142857143,0.0,week
2021-03-01,moscow,42.67741935483871,0.0,week
2021-04-01,moscow,49.5,0.0,week
2021-05-01,moscow,69.03225806451613,0.0,week
2021-06-01,moscow,77.06666666666666,0.0,week
2021-07-01,moscow,70.35483870967742,0.0,week
2021-08-01,moscow,49.32258064516129,0.0,week
2021-09-01,moscow,32.4,0.0,week
2021-10-01,moscow,33.25806451612903,0.0,week
2021-11-01,moscow,28.9,0.0,week
2021-12-01,moscow,31.774193548387096,0.0,week
2022-01-01,moscow,35.96774193548387,0.0,week
2022-02-01,moscow,35.17857142857143,0.0,week
2022-03-01,moscow,34.0,0.0,week
2022-04-01,moscow,41.6,0.0,week
2022-05-01,moscow,56.096774193548384,0.0,week
2022-06-01,moscow,74.43333333333334,0.0,week
2022-07-01,moscow,73.51612903225806,0.0,week
2022-08-01,moscow,30.419354838709676,0.0,week
2022-09-01,moscow,32.833333333333336,0.0,week
2022-10-01,moscow,33.54838709677419,0.0,week
2022-11-01,moscow,33.43333333333333,0.0,week
