period,market_id,temperature_c,temperature_min_c,temperature_max_c,observation_days
2021-01-01,moscow,-7.235483870967743,-9.167741935483871,-5.509677419354839,31
2021-02-01,moscow,-12.760714285714286,-16.40357142857143,-9.625,28
2021-03-01,moscow,-3.729032258064516,-7.790322580645161,-0.12258064516129037,31
2021-04-01,moscow,5.883333333333334,1.22,10.496666666666666,30
2021-05-01,moscow,13.52258064516129,8.55483870967742,17.809677419354838,31
2021-06-01,moscow,19.90666666666667,14.483333333333333,24.186666666666667,30
2021-07-01,moscow,22.448387096774194,17.33225806451613,26.64516129032258,31
2021-08-01,moscow,19.64516129032258,15.432258064516128,23.79032258064516,31
2021-09-01,moscow,9.953333333333335,7.409999999999999,12.406666666666666,30
2021-10-01,moscow,5.825806451612903,2.693548387096774,9.003225806451614,31
2021-11-01,moscow,1.5833333333333333,-0.7766666666666667,3.67,30
2021-12-01,moscow,-7.974193548387097,-10.67741935483871,-5.603225806451613,31
2022-01-01,moscow,-6.764516129032257,-9.096774193548388,-4.577419354838709,31
2022-02-01,moscow,-2.9857142857142853,-5.682142857142857,-0.8821428571428571,28
2022-03-01,moscow,-3.7,-8.47741935483871,1.0709677419354837,31
2022-04-01,moscow,4.303333333333333,0.43333333333333335,8.076666666666666,30
2022-05-01,moscow,9.625806451612902,5.1,13.770967741935483,31
2022-06-01,moscow,18.040000000000003,12.639999999999999,22.276666666666664,30
2022-07-01,moscow,20.593548387096774,15.59032258064516,24.967741935483872,31
2022-08-01,moscow,21.88064516129032,16.23548387096774,26.87741935483871,31
2022-09-01,moscow,10.31,7.260000000000001,13.506666666666666,30
2022-10-01,moscow,6.932258064516129,4.16774193548387,9.738709677419354,31
2022-11-01,moscow,-1.21,-2.89,0.30000000000000004,30
2022-12-01,moscow,-5.16774193548387,-7.229032258064516,-3.0032258064516126,31
2023-01-01,moscow,-6.206451612903226,-8.506451612903225,-3.745161290322581,31
2023-02-01,moscow,-5.507142857142857,-8.1,-3.3535714285714286,28
2023-03-01,moscow,-1.1903225806451612,-5.080645161290323,2.129032258064516,31
2023-04-01,moscow,8.02,2.316666666666667,13.216666666666667,30
2023-05-01,moscow,12.23225806451613,6.638709677419355,16.774193548387096,31
2023-06-01,moscow,16.736666666666668,11.1,21.353333333333335,30
2023-07-01,moscow,18.212903225806453,14.193548387096774,21.816129032258065,31
2023-08-01,moscow,19.229032258064517,14.816129032258065,23.13225806451613,31
2023-09-01,moscow,14.783333333333333,10.246666666666666,19.25,30
2023-10-01,moscow,5.354838709677419,3.0354838709677416,7.638709677419355,31
2023-11-01,moscow,0.16333333333333327,-1.97,2.19,30
2023-12-01,moscow,-5.84516129032258,-8.03225806451613,-4.0,31
2024-01-01,moscow,-12.138709677419355,-15.577419354838709,-8.77741935483871,31
2024-02-01,moscow,-6.041379310344827,-8.427586206896551,-3.7517241379310344,29
2024-03-01,moscow,-1.3387096774193548,-5.300000000000001,2.6548387096774193,31
2024-04-01,moscow,9.373333333333333,4.3133333333333335,14.133333333333333,30
2024-05-01,moscow,11.667741935483871,6.116129032258065,15.996774193548386,31
2024-06-01,moscow,19.753333333333334,15.03,23.91,30
2024-07-01,moscow,21.980645161290322,17.093548387096774,26.24516129032258,31
2024-08-01,moscow,18.88064516129032,14.27741935483871,23.27741935483871,31
2024-09-01,moscow,17.296666666666667,12.286666666666667,22.226666666666667,30
2024-10-01,moscow,7.490322580645161,4.683870967741935,10.612903225806452,31
2024-11-01,moscow,0.8133333333333332,-1.2333333333333334,2.8266666666666667,30
2024-12-01,moscow,-3.2,-5.393548387096774,-1.3806451612903226,31
2025-01-01,moscow,-1.0741935483870966,-3.125806451612903,0.7419354838709677,31
2025-02-01,moscow,-5.110714285714286,-7.703571428571428,-2.167857142857143,28
2025-03-01,moscow,3.083870967741935,-1.0,7.138709677419354,31
2025-04-01,moscow,7.136666666666667,2.5933333333333333,11.610000000000001,30
2025-05-01,moscow,12.609677419354838,7.448387096774193,17.161290322580644,31
2025-06-01,moscow,16.603333333333335,12.5,20.31,30
2025-07-01,moscow,21.270967741935483,16.700000000000003,25.496774193548386,31
2025-08-01,moscow,16.925806451612903,13.387096774193548,20.55806451612903,31
2025-09-01,moscow,13.513333333333332,9.826666666666666,17.186666666666667,30
2025-10-01,moscow,6.906451612903226,4.877419354838709,9.183870967741935,31
2025-11-01,moscow,2.9133333333333336,1.12,4.8,30
2025-12-01,moscow,-2.035483870967742,-3.8225806451612905,-0.5064516129032258,31
